# Animation run summary
animation_type,AStar_animation
total_frames,1176
total_time_s,11.7600
success,True
num_collisions,561
num_replans,1220
path_length,282.4976
trajectory_image,animation_run_20260218_115730_AStar_animation_trajectory.png

"# Collisions (time_s, frame, type, detail)"
time_s,frame,type,detail
2.0900,209,ellipse,obstacle indices [1]
2.1000,210,ellipse,obstacle indices [1]
2.1600,216,ellipse,obstacle indices [1]
2.1700,217,ellipse,obstacle indices [1]
2.1800,218,ellipse,obstacle indices [1]
2.1900,219,ellipse,obstacle indices [1]
2.2000,220,ellipse,obstacle indices [1]
2.2100,221,ellipse,obstacle indices [1]
2.2200,222,ellipse,obstacle indices [1]
2.2300,223,ellipse,obstacle indices [1]
2.2400,224,ellipse,obstacle indices [1]
2.2500,225,ellipse,obstacle indices [1]
2.2600,226,ellipse,obstacle indices [1]
2.2700,227,ellipse,obstacle indices [1]
2.2800,228,ellipse,obstacle indices [1]
2.2900,229,ellipse,obstacle indices [1]
2.3000,230,ellipse,obstacle indices [1]
2.3100,231,ellipse,obstacle indices [1]
2.3200,232,ellipse,obstacle indices [1]
2.3300,233,ellipse,obstacle indices [1]
2.3400,234,ellipse,obstacle indices [1]
2.3500,235,ellipse,obstacle indices [1]
2.3600,236,ellipse,obstacle indices [1]
2.3700,237,ellipse,obstacle indices [1]
2.3800,238,ellipse,obstacle indices [1]
2.3900,239,ellipse,obstacle indices [1]
2.4000,240,ellipse,obstacle indices [1]
2.4100,241,ellipse,obstacle indices [1]
2.4200,242,ellipse,obstacle indices [1]
2.4300,243,ellipse,obstacle indices [1]
2.4400,244,ellipse,obstacle indices [1]
2.4500,245,ellipse,obstacle indices [1]
2.4600,246,ellipse,obstacle indices [1]
2.4700,247,ellipse,obstacle indices [1]
2.4800,248,ellipse,obstacle indices [1]
2.4900,249,ellipse,obstacle indices [1]
2.5000,250,ellipse,obstacle indices [1]
2.5100,251,ellipse,obstacle indices [1]
2.5200,252,ellipse,obstacle indices [1]
2.5300,253,ellipse,obstacle indices [1]
2.5400,254,ellipse,obstacle indices [1]
2.5500,255,ellipse,obstacle indices [1]
2.5600,256,ellipse,obstacle indices [1]
2.5700,257,ellipse,obstacle indices [1]
2.5800,258,ellipse,obstacle indices [1]
2.5900,259,ellipse,obstacle indices [1]
2.6000,260,ellipse,obstacle indices [1]
2.6100,261,ellipse,obstacle indices [1]
2.6200,262,ellipse,obstacle indices [1]
2.6300,263,ellipse,obstacle indices [1]
2.6400,264,ellipse,obstacle indices [1]
2.6500,265,ellipse,obstacle indices [1]
